Fondue Fred,h_we4E3zofRTf4G0JTEF0A,UC Campus Area,Fondue,37.863919,-122.25894,3,172
Fonzie's Peruvian Chicken,cRXQBgMaOvVennr6QkILhQ,Telegraph Ave,Latin American,37.86834903,-122.2591209,3.5,30
Fred's Market,Lda-VxcMfMOrZLwB7fVkzQ,Telegraph Ave,Convenience Stores,37.8645715,-122.2584966,4,14
Free Speech Movement Cafe,DO1Ukiuia9hs33VTnTY_Jg,UC Campus Area,Coffee & Tea,37.87240797,-122.26069,3.5,143
Freehouse,9znPyzc0cS8GHH49R8SUaA,UC Campus Area,Pubs,37.868961,-122.254269,3,49
Gather,BiZAzf2SAFCE0gJrX-PGFw,Downtown Berkeley,American (New),37.869348,-122.26602,4,939
Gelateria Naia Lounge,GeuOnWUHbtLoBXz4giku0Q,UC Campus Area,Ice Cream & Frozen Yogurt,37.8690986,-122.2596091,4,28
Golden Bear Cafe,1wz7l5OyVoUlvPDRy59ZMA,UC Campus Area,Cafes,37.86980579,-122.2596037,3,28
Gomnaru Restaurant,4D7IdtyRjH8qxcsHaz1-GA,UC Campus Area,Korean,37.87524,-122.2598373,3.5,93
Gomnaru Restaurant,8MhLXZcr49SU8ovh6KzRwg,Telegraph Ave,Korean,37.868035,-122.258216,3,4
Gordo Taqueria,s3aJzSKD-tBGR0MNGw_sDw,Telegraph Ave,Mexican,37.86684,-122.2588129,3.5,112
Grande Pizza Delivery,4beo3TF9YNribKAL8D3RRQ,Telegraph Ave,Food Delivery Services,37.8678572,-122.2582228,3.5,5
Gypsy's Trattoria Italiano,Kq6uUzRw-iaqe4p7cLLmBQ,Telegraph Ave,Italian,37.8680259,-122.2581241,4,646
Happy High Herb Shop,6A6CjSZPghcS74C9OCkFQQ,Telegraph Ave,Specialty Food,37.8669476,-122.2584039,4.5,7
Happy Valley,ERRowW4pGO6pK9sVYyA1nQ,Telegraph Ave,Chinese,37.8650499,-122.2584562,4,67
Henry's,XD5ybqI0BHcTj5cLQyIPLA,Telegraph Ave,Bars,37.86803989,-122.2566184,3.5,186
House of Curries,QfpwAp53h_DIfzph0IMIbQ,Telegraph Ave,Pakistani,37.8678087,-122.257913,3.5,303
Hummingbird Cafe,Z6Y4JnWBEvgay6PahHrQEQ,UC Campus Area,Sandwiches,37.8754914,-122.2603537,4,96
Hummingbird Express,LqVC-VEmJ3GQyKlfSVO3Zg,UC Campus Area,Greek,37.8755024,-122.2602129,3,16
I.B.'s Hoagies,TUIDRJ_rUkdmYPSRAAEsPg,Telegraph Ave,Sandwiches,37.868041,-122.25849,4,285
Indian Flavors Express,TKDgFp9C7kf_pSHrQHZW_Q,Telegraph Ave,Indian,37.8688198,-122.2582208,3.5,101
In-N-Out Gyros,rYC-3zDPHSh8Q0GpN3pfug,Telegraph Ave,Greek,37.868236,-122.25806,2.5,12
International House Cafe,QK92fducCS79yYkuTEfG0w,UC Campus Area,Coffee & Tea,37.8695199,-122.2519943,3,74
Ironwood BBQ Berkeley,YDOKZjBzxY6cJL1YUoDYSA,Downtown Berkeley,Barbeque,37.8702765,-122.2659113,4,71
Jamba Juice,ZWvCz7LBBDVwzPPhOdQBvQ,Telegraph Ave,Juice Bars & Smoothies,37.8686819,-122.258734,3,45
Jasmine Thai,BJKIoQa5N2T_oDlLVf467Q,UC Campus Area,Thai,37.8759615,-122.2602981,3,52
Jimmie Beans Fifo Cafe,U6oI7ip50hnFbZkJQ0bFGQ,UC Campus Area,Cafes,37.8711657,-122.2527946,2.5,6
Jimmy Fifo Cafe,qEBzi4gG72w2khpVM2Flig,UC Campus Area,Sandwiches,37.8725573,-122.2537727,3,28
Johnston's Market,pSPsT1hggiw5RhFR1bSqSw,Telegraph Ave,Convenience Stores,37.8680235,-122.2584566,3.5,17
Joshu-Ya Brasserie,sxIPX4ZAipVl3ZCkkqXqZw,Telegraph Ave,Sushi Bars,37.8652343,-122.2593812,4,143
Joshu-Ya Sushi,RDa29pAaWeZjA9MvAry7Gw,Telegraph Ave,Sushi Bars,37.8652343,-122.2593812,3,296
Julie's Healthy Cafe,X_F53ZyIQT3Y2iSvWRLXEQ,Telegraph Ave,Bakeries,37.8689097,-122.2576502,2.5,67
Kamal Palace Indian Cuisine,epCMMxU8H2sx2r-q8oiFDQ,Downtown Berkeley,Pakistani,37.8697267,-122.2660897,3.5,2
Kawayan,OcW2m6ta8G6seRU-lBA41g,Downtown Berkeley,Filipino,37.8702654,-122.2658918,3.5,12
Khana Peena Indian Cuisine,PM9gJDZPVFMUOwuF0IBjnQ,Downtown Berkeley,Pakistani,37.8701853,-122.2658691,2.5,20
Kimchi Garden,PkSoDMwb3y3-lRsqaKqSGw,Telegraph Ave,Korean,37.868035,-122.258216,2.5,90
King Pin Donuts,Ugm1SowBaUq-M6nfg2LlRw,Telegraph Ave,Donuts,37.8680781,-122.2579783,4,313
KoKo Express,1dS4wRFdtbPRy3tHezpNQg,Telegraph Ave,Burgers,37.8677755,-122.2597653,3,3
Koryo Restaurant,we3YxbueOBb0f-m7ekYk2A,UC Campus Area,Korean,37.863919,-122.258941,3.5,144
La Burrita,q33FT8iYvU2UUbJuiEQWUw,Telegraph Ave,Mexican,37.8679766,-122.2575506,3.5,376
La Burrita,XzWUVPs5VcCTEVtWYZVYRg,UC Campus Area,Mexican,37.8755679,-122.2602616,3,142
La Cascada Taqueria,WXKx2I2SEzBpeUGtDMCS8A,Downtown Berkeley,Mexican,37.8705337,-122.2663047,3,101
La Fiesta Mexican Restaurant,zqcTeWwRe7HjbwDaWJGjCw,Telegraph Ave,Mexican,37.865831,-122.25802,4,6
La Vals Pizza,OP0r3sKiPGhND2LCThB7Nw,Telegraph Ave,Pizza,37.867768,-122.2581978,2,5
La Val's Pizza,1CBs84C-a-cuA3vncXVSAw,UC Campus Area,Pizza,37.8755322,-122.2603641,3.5,218
Le Bistro Elephant,-79JF6MafhGg1B_KRDl8vA,Downtown Berkeley,American (New),37.8702654,-122.2658918,3.5,7
Le Petit Cheval,lWG0hyFKIgZISbZkEfMVsQ,Telegraph Ave,Vietnamese,37.8689555,-122.2567822,3.5,138
Le Petit Market,NAZoI2gBNq2kF3h-2LkWnA,UC Campus Area,Grocery,37.8752333,-122.2596939,3.5,9
Lhasa Karnak Herb Company,Fs2cgsKMJM1Bffjxa-0wHQ,Telegraph Ave,Herbs and Spices,37.8654404,-122.2586533,4.5,48
Lotus House,XBPMMfMchDlxZG-qSsSdtw,Telegraph Ave,Coffee & Tea,37.868035,-122.258216,3,160
Mandarin House,5fneYCWLhgBZQUcNPOch-w,Telegraph Ave,Chinese,37.868144,-122.2580885,2.5,102
Manhattan Roast & Grill,WSTdK7y1ZDw9JU3NUpFj7g,Telegraph Ave,American (New),37.8677609,-122.2582175,3.5,49
Maoz Vegetarian,17PRKve78GgzlHYdEbK7TQ,Telegraph Ave,Vegetarian,37.8670856,-122.258741,4,229
Mario's La Fiesta Mexican Restaurant,VBTYsHmf0uPACFlCuV4l9g,Telegraph Ave,Mexican,37.865823,-122.258032,3.5,198
Mediterraneam Caffe,x-XYM7yiS8SMOAZ11DrKTw,Telegraph Ave,Mediterranean,37.865614,-122.258338,3.5,13
Meesha's Berkeley Gyros,7wHzc0DUlM6P498oc_UBYA,Telegraph Ave,Mediterranean,37.868144,-122.2580885,3,45
Michelle's Yogurt & Sweets,aFbK2N4jB72avKpooMpSOw,Telegraph Ave,Ice Cream & Frozen Yogurt,37.867587,-122.2596317,3.5,69
Micro Yali's,agDRuVpPlBQtQ8FXavUShA,UC Campus Area,Coffee & Tea,37.87160129,-122.2618032,2.5,7
Milanese Caffe,crqWT6VmTS-WIq53qMKqOw,Telegraph Ave,Breakfast & Brunch,37.8650346,-122.2588652,3.5,106
Minami Sushi,NgwqZNamI-NyBMfiIadWCA,Telegraph Ave,Sushi Bars,37.8678572,-122.2582228,2.5,69
Moccacino Cafe,k9UPupjrpa-y_e1urlAMnA,Telegraph Ave,Coffee & Tea,37.8688818,-122.2578793,3.5,170
Momo Masala,loBOs5ruFXSNL-ZM29cTrA,UC Campus Area,Indian,37.8751965,-122.2598181,4,4
Moolicious,8PJFVprfmPTOMKD0vfkEnQ,Telegraph Ave,Breakfast & Brunch,37.8670856,-122.258741,3,17
Musical Offering,ndDb1erN_IQcaVLIDQhGMQ,Telegraph Ave,Music & DVDs,37.868429,-122.260698,4,121
Naan N Curry,xtyK6kDA4A2ASCVuU2vH7A,Telegraph Ave,Pakistani,37.8673999,-122.2590685,3,452
Nefeli Caffe,OqKuUkYMCWShOHOspYLGZQ,UC Campus Area,Greek,37.8754083,-122.2601952,4,130
Noah's Bagels,bccVcVv80u3Rqf3CiPM22A,Telegraph Ave,Bagels,37.867937,-122.2591744,2,91
Northside Cafe,R109PJPOP1puLUHQWeWwcg,UC Campus Area,Breakfast & Brunch,37.8752289,-122.2601962,4,104
Off the Grid Southside Berkeley,fawYfLZtJJlGMyUphAi22w,Telegraph Ave,Street Vendors,37.8660381,-122.2586253,3.5,10
Off the Grid Telegraph Berkeley,n-rhaV-Iw7BgyeecfSgTJw,Telegraph Ave,Street Vendors,37.8660381,-122.2586253,4.5,2
Orso Restaurant,VIGDtiywmy3sOEwUIiXaKQ,Downtown Berkeley,Italian,37.8697267,-122.2660897,3,12
Pancho's,7x0i0seshwLXBVAam16wuw,Telegraph Ave,Mexican,37.8680781,-122.2579783,3,72
Pane e Cioccolata,JT23bhY1mFme-EJdHjeMow,UC Campus Area,Bakeries,37.8756447,-122.2603908,3,13
Papamingo,UcYOqUelwmNsftrYTQdh0g,Telegraph Ave,Ice Cream & Frozen Yogurt,37.8669727,-122.2582495,3.5,171
Pappy's Grill & Sports Bar,W_14XPx-En1MmvaZykjxpQ,Telegraph Ave,Bars,37.8674301,-122.2588366,2.5,56
Pasta Bene,QQIjsdcokFermi2ugoD6ow,UC Campus Area,Italian,37.8639919,-122.2585639,4,283
